BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
REH AT,6728801,REECE LTD,Equities,Industrials,Australia,AUD,0.002117,335129,5690490.42,5690490.42
ILU AT,6957575,ILUKA RESOURCES LTD,Equities,Materials,Australia,AUD,0.002102,527969,5649268.3,5649268.3
AGL AT,BSS7GP5,AGL ENERGY LTD,Equities,Utilities,Australia,AUD,0.001975,743648,5309646.72,5309646.72
DMP AT,B07SFG7,DOMINO'S PIZZA ENTERPRISES LTD,Equities,Consumer Discretionary,Australia,AUD,0.001971,74331,5296827.06,5296827.06
SQ2 AT,BMHJ8W1,BLOCK INC,Equities,Information Technology,Australia,AUD,0.001909,45568,5131868.16,5131868.16
TNE AT,6302410,TECHNOLOGY ONE LTD,Equities,Information Technology,Australia,AUD,0.001853,348022,4980194.82,4980194.82
MTS AT,B0744W4,METCASH LTD,Equities,Consumer Staples,Australia,AUD,0.001829,1187370,4915711.8,4915711.8
CGF AT,6726300,CHALLENGER LTD,Equities,Financials,Australia,AUD,0.001812,659236,4871754.04,4871754.04
NHF AT,B28ZM60,NIB HOLDINGS LTD/AUSTRALIA,Equities,Financials,Australia,AUD,0.001762,596584,4736876.96,4736876.96
SVW AT,B432QW4,SEVEN GROUP HOLDINGS LTD,Equities,Industrials,Australia,AUD,0.001746,192463,4694172.57,4694172.57
AWC AT,6954985,ALUMINA LTD,Equities,Materials,Australia,AUD,0.001659,2933554,4459002.08,4459002.08
AMP AT,6709958,AMP LTD,Equities,Financials,Australia,AUD,0.001591,3819098,4277389.76,4277389.76
FPH AT,6423968,FISHER & PAYKEL HEALTHCARE COR,Equities,Healthcare,Australia,AUD,0.001548,171837,4160173.77,4160173.77
ANN AT,6286611,ANSELL LTD,Equities,Healthcare,Australia,AUD,0.001546,154042,4156053.16,4156053.16
CLW AT,BDB46J2,CHARTER HALL LONG WALE REIT,Equities,Real Estate,Australia,AUD,0.001464,851541,3934119.42,3934119.42
A2M AT,BWSRTS7,A2 MILK CO LTD/THE,Equities,Consumer Staples,Australia,AUD,0.001425,539551,3830812.1,3830812.1
NEC AT,BGQV183,NINE ENTERTAINMENT CO HOLDINGS,Equities,Communication Services,Australia,AUD,0.001408,1802447,3785138.7,3785138.7
TPG AT,BMB2257,TPG TELECOM LTD,Equities,Communication Services,Australia,AUD,0.001403,802680,3772596,3772596
PME AT,6292782,PRO MEDICUS LTD,Equities,Healthcare,Australia,AUD,0.001365,57736,3669122.8,3669122.8
FLT AT,6352147,FLIGHT CENTRE TRAVEL GROUP LTD,Equities,Consumer Discretionary,Australia,AUD,0.001354,195804,3639996.36,3639996.36
